"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"109","MAC",109,0.00202580739947502,109,12627.9700848549,109,200.262853870138,109,882.885261738458,0.996011956558468,0.993366927267007
"110","MAR",110,0.00352890464117446,110,45328.6521008078,110,2187.97238804601,110,3825.18825632548,0.970162334909585,0.968837257442996
"111","MDA",111,0.00209311690057759,111,15256.1626252517,111,335.416733123692,111,630.205876852689,0.974199779245085,0.976056513374797
"112","MDG",112,0.00220935618877978,112,13514.6197014531,112,279.00895755766,112,499.33967898456,0.97723158211107,0.986500645407201
"113","MDV",113,0.00175021973707444,113,2593.89461666833,113,50.7977145105086,113,257.496427872544,0.991078711173824,0.996229227337457
"114","MEX",114,0.0120422533852407,114,162597.120018478,114,19261.1142260953,114,18035.0728010799,0.985078032259372,0.984616057804468
"115","MHL",115,0.00195546856198998,115,9437.50672538516,115,180.967171111714,115,1693.12607033009,0.993396666091725,0.972066673244029
"116","MKD",116,0.00231889877915558,116,22776.6757082834,116,552.491566455839,116,740.16693268655,0.977207818006961,0.980454246605657
"117","MLI",117,0.0031439910327633,117,23253.4624977627,117,370.351195289036,117,658.741694957159,0.943983367183148,0.975397155828883
"118","MLT",118,0.00254229930688847,118,17699.103352649,118,660.131442778795,118,1731.08209546897,0.980951172596048,0.971439328226158
"119","MMR",119,0.00209734419905487,119,44200.7108588349,119,1327.34126472896,119,1215.67039632408,0.995319042381914,0.995775370031721
"120","MNG",120,0.00185040313195786,120,44301.3836558181,120,604.589393255868,120,653.959450456771,0.992733702395359,0.997102415339796
"121","MOZ",121,0.00239109673086286,121,17729.4468047501,121,589.951169581289,121,854.896606093441,0.98095388275175,0.98373603047321
"122","MRT",122,0.00207364181428183,122,23597.9731179803,122,431.808884177154,122,449.404167943688,0.988220033984611,0.988582560704941
"123","MUS",123,0.00231053186539983,123,15882.5515808873,123,447.438035199729,123,735.289845588117,0.974916658901376,0.966651930337419
"124","MWI",124,0.00209529581631223,124,6221.38633148338,124,272.67339534287,124,356.392977143542,0.969570573457117,0.972146168655399
"125","MYS",125,0.00733061702344391,125,106834.91440653,125,13496.5018036633,125,11213.917925174,0.960536981286915,0.958976882823644
"126","NAM",126,0.00228065897386932,126,23151.5040644122,126,891.165891273523,126,947.257865826775,0.982954230187346,0.973598888229228
"127","NCL",127,0.00218405717596672,127,12074.0248844262,127,287.984465481331,127,572.425243465536,0.985720732006292,0.994912703488367
"128","NER",128,0.00209291580667748,128,12222.7566427056,128,161.37760570511,128,345.889091568306,0.973830099289403,0.982454689251823
"129","NGA",129,0.00797125265025832,129,112590.951782351,129,8354.31651910085,129,4699.14412303067,0.955538874023307,0.959197861494445
"130","NIC",130,0.00226607091847025,130,36471.4748132603,130,589.188409397063,130,788.887214782886,0.966360038108042,0.977909148179988
"131","NLD",131,0.0220551584317948,131,155517.248268655,131,30161.1514272497,131,31214.7154460815,0.963174932046053,0.967758820658787
"132","NOR",132,0.00545438693171332,132,111544.05499059,132,12381.0774935636,132,7228.4720965301,0.989237832142898,0.990309420741925
"133","NPL",133,0.00213474815993816,133,18077.8021916305,133,205.831379844016,133,757.792850532396,0.993129077997934,0.988023835107612
