iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
AFG,CHN,1,0,0,0,0,0,0,0,4180.4375,4180.4375,4434.382121,4369.992854
AFG,CIV,0,0,0,0,0,0,0,0,8144.624,8165.9507,8067.372396,8061.535679
AFG,CMR,0,0,0,0,0,0,0,0,6842.123,6842.123,6632.051303,6608.678597
AFG,COG,0,0,0,0,0,0,0,0,7100.583,7100.583,7110.931922,7100.182965
AFG,COK,0,0,0,0,0,0,0,0,15044.605,15044.605,15114.22949,15110.14554
AFG,COL,0,0,0,0,0,0,0,0,14288.693,14288.693,14072.28391,14065.92964
AFG,COM,0,0,0,0,0,0,0,0,5824.4111,5824.4111,5802.082125,5796.582699
AFG,CPV,0,0,0,0,0,0,0,0,9324.5801,9324.5801,9225.148192,9221.142343
AFG,CRI,0,0,0,0,0,0,0,0,14334.572,14334.572,14260.46473,14258.96536
AFG,CUB,0,0,0,0,0,0,0,0,12952.396,12952.396,12859.24247,12857.47945
AFG,CXR,0,0,0,0,0,0,0,0,6312.0742,6312.0742,,
AFG,CYM,0,0,0,0,0,0,0,0,13283.304,13283.304,13208.92917,13207.38494
AFG,CYP,0,0,0,0,0,0,0,0,3257.9724,3257.9724,3172.29943,3159.983517
AFG,CZE,0,0,0,0,0,0,0,0,4708.0239,4708.0239,4543.170618,4534.279733
AFG,DEU,0,0,0,0,0,0,0,0,5226.5142,4783.5698,4945.520213,4934.421284
AFG,DJI,0,0,0,0,0,0,0,0,3668.1165,3668.1165,3621.295283,3610.345878
AFG,DMA,0,0,0,0,0,0,0,0,12416.774,12416.774,12318.91312,12316.78428
AFG,DNK,0,0,0,0,0,0,0,0,4857.6924,4857.6924,4854.473988,4848.241384
AFG,DOM,0,0,0,0,0,0,0,0,12709.283,12709.283,12623.32518,12621.41955
AFG,DZA,0,0,0,0,0,0,0,0,5866.7363,5866.7363,5776.017808,5759.415491
AFG,ECU,0,0,0,0,0,0,0,0,14950.597,14950.597,15033.62518,15030.77864
AFG,EGY,0,0,0,0,0,0,0,0,3584.3193,3584.3193,3509.173821,3496.898045
AFG,ERI,0,0,0,0,0,0,0,0,3706.2883,3706.2883,3625.781477,3613.635784
AFG,ESH,0,0,0,0,0,0,0,0,7696.6079,7696.6079,7659.554361,7651.803181
AFG,ESP,0,0,0,0,0,0,0,0,6290.4927,6290.4927,6147.662614,6123.391303
AFG,EST,0,0,0,0,0,0,0,0,4238.918,4238.918,4112.194063,4105.796427
AFG,ETH,0,0,0,0,0,0,0,0,4196.2056,4196.2056,4114.43559,4098.691387
AFG,FIN,0,0,0,0,0,0,0,0,4254.7944,4254.7944,4243.3415,4236.522412
AFG,FJI,0,0,0,0,0,0,0,0,12880.349,12880.349,12941.14695,12938.15366
AFG,FLK,0,0,0,0,0,0,0,0,15447.965,15447.965,15386.3664,15382.70015
